book_id,book_title,知音分,预测估值,潜力指数,标签,文本爆发力,情感共鸣度,内容相关性,读者粘性,real_score
jj_3200611,天官赐福,91.1606118168877,0.044509707395084565,5.858082047260406e-05,传世神作,0.7720278278480104,0.1802403047324341,0.9843999999999999,9.9,759.8
jj_5484954,欢迎进入梦魇直播间,98.5,0.05718142929972815,0.0001048815651132211,价值回归,0.8534829101445203,0.167245824034625,0.9369,9.9,545.2
jj_3173202,某某,95.64825997562627,0.04302037316136011,7.996351888728646e-05,价值回归,0.7330378275672013,0.1748939924294842,0.9442,9.8,538
jj_3419133,全球高考,95.64825997562627,0.04711797137851594,0.0001037383782001672,价值回归,0.752007597494547,0.1669006467960258,0.9556999999999999,9.8,454.2
jj_4404708,我行让我上,83.29810555245376,0.04077476667568007,9.214636536876852e-05,价值回归,0.7334246217142918,0.1787266232691565,0.9804,9.3,442.5
jj_3395943,破云,91.66483004601719,0.04523123209110931,0.00010994465748932744,潜力黑马,0.8190475111009959,0.1708971027614305,0.9838,9.8,411.4
jj_5555568,放学等我,80.09948081670075,0.05154098388417362,0.00012546490721561252,价值回归,0.7935471738931427,0.1836225730744612,0.9834999999999999,9.7,410.8
jj_3515679,判官,95.91620948014929,0.050422483338264976,0.0001260247021701199,价值回归,0.6880262206122841,0.1725121273712737,0.9661,9.8,400.1
jj_2368172,魔道祖师,90.04341228884266,0.045728174078419274,0.00012087807052185904,价值回归,0.7616420081291321,0.192972445326108,0.993,9.9,378.3
jj_3435320,死亡万花筒,79.79853337269367,0.06503434713342277,0.00017720530554066148,价值回归,0.6502485995209428,0.1839979726305119,0.8714,9.6,367
jj_2956313,撒野,95.81987636193969,0.0447884723203333,0.00012358849978016915,价值回归,0.8479423218632129,0.1834779997621596,0.9784,9.9,362.4
jj_6605448,洄天,85.18065909781103,0.04211018177284578,0.00012600293768056785,价值回归,0.8064301763790578,0.1770756565235514,0.9867,9.7,334.2
